TYPES,Field Label,Field Name,Field Type,,HowMany,Required,Relationship,Example,,
,Stream,,Text,ID (auto increment),1,,,,,
,Is Muted,,Boolean,ID (auto increment),1,,,,,
,Sharing Video,,Boolean,ID (auto increment),1,,,,,
,Sharing Audio,,Boolean,ID (auto increment),1,,,,,
,Sharing Screen,,Boolean,ID (auto increment),1,,,,,
,Hand Raised,,Boolean,ID (auto increment),1,,,,,
,Is Typing,,Boolean,ID (auto increment),1,,,,,
,,,,,,,,,,
,,,,,,,,,,
Topics,,,,,,,,"(technology, agriculture, health care, ...)",,
,Name,,Text,ID (auto increment),,,,,,
,Icon,,Image,ID (auto increment),1,0,,,,
,Photo,,Image,ID (auto increment),1,0,,,,
,,,,,,,,,,
Resource Types,,,,,,,,"(consulting, sales, labor, ....)",,
,Name,,Text,ID (auto increment),,,,,,
,,,,,,,,,,
Meeting Types,,,,,,,,"(rally-2-discuss, rally-2-write, rally-2-move, city council meeting, hearing, ...)",,
,Name,,Text,ID (auto increment),,,,,,
,,,,,,,,,,
States,,,,,,,,"(california, new york, arizona)",,
,Name,,Text,ID (auto increment),,,,,,
,Website,,URL,ID (auto increment),1,0,,,,
,Icon,,Image,ID (auto increment),1,0,,,,
,,,,,,,,,,
Parties,,,,,,,,"(democratic, republican, indedepent, liberaterian)",,
,Name,,Text,ID (auto increment),,,,,,
,Logo,,Image,ID (auto increment),1,0,,,,
,Website,,URL,ID (auto increment),1,0,,,,
,,,,,,,,,,
Stakeholders,,,,,,,,"(youth, elderly, mechanics, gardeners, police officers....)",,
,Name,,Text,ID (auto increment),,,,,,
,Image,,Image,ID (auto increment),1,0,,,,
