,,,ROLES,,,,,,,,RULES,
,View,others,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/action-plan/[id],
,Add,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,/action-plan/add,
,Edit,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/action-plan/[id]/edit,
,Edit,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/action-plan/[id]/edit,
,Delete,own ,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/action-plan/[id]/delete,
,Delete,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/action-plan/[id]/delete,
,Add Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/action-plan/[id]/comment/[id]/add,
,Edit Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/action-plan/[id]/comment/[id]/edit,
,Delete Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/action-plan/[id]/comment/[id]/delete,
,Delete Comment,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/action-plan/[id]/comment/[id]/delete,
,,,,,,,,,,,,
,,,,,,,,,,,,
Meetings,,,,,,,,,,,,
,View,own,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id],
,View,others,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id],
,Add,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,/rally/[id]/meeting/add,
,Edit,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/edit,
,Edit,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/edit,
,Delete,own ,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/delete,
,Delete,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/delete,
,Add Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/comment/[id]/add,
,Edit Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/comment/[id]/edit,
,Delete Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/comment/[id]/delete,
,Delete Comment,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/rally/[id]/meeting/[id]/comment/[id]/delete,
,Sponsor,others,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/sponsor/add,
,Sponsor,others,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/sponsor/delete,
,Apply to Speak,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/apply-to-speak,
,Withdraw Application,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/meeting/[id]/apply-to-speak/[id]/delete,
,Approve Speaker,own,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/meeting/[id]/apply-to-speak/[id]/approve,
,Reject Speaker,own,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/meeting/[id]/apply-to-speak/[id]/reject,
